REC,RIA_RTE_ID,FRM_DFO,TO_DFO,HWY,HSYS,HNUM,DI,CO,CITY,RU,F_SYSTEM,SPD_MAX,HP_MED_W,NUM_LANES,SUR_W,ADT_YEAR,ADT_CUR,ADT_ADJ,TRK_AADT_PCT,AADT_TRUCKS,LANE_WIDTH,LEN_SEC,LN_MILES,DVMT,DTRKVMT,HY_1,HY_2,HY_3,HY_4
1,FM0973-KG,29.211,29.218000000000004,FM0973,FM,973,14,227,2100,4,4,50,20,4,70,2019,23463,23463,5.3,1245,12,0.006999999999999999,0.027999999999999997,164.24099999999999,8.715,18337,14842,9921,7724
1,FM0969-KG,6.359,6.41,FM0969,FM,969,14,227,0,4,3,60,15,3,48,2019,24665,24665,5.0,1242,12,0.051,0.153,1257.915,63.342,22309,18885,20287,19486
1,FM0973-KG,24.988000000000003,25.011,FM0973,FM,973,14,227,0,4,4,60,5,2,24,2019,11783,11783,6.2,736,12,0.023,0.046,271.009,16.928,10385,8867,7495,7819
1,FM0969-KG,2.217,2.3080000000000003,FM0969,FM,969,14,227,2100,4,3,50,0,4,45,2019,24322,24322,5.1,1230,11,0.091,0.364,2213.302,111.93,17992,14403,19231,18985
1,FM0969-KG,6.867000000000001,7.846,FM0969,FM,969,14,227,0,4,5,60,0,2,26,2019,24665,24665,5.0,1242,13,0.9790000000000001,1.9580000000000002,24147.035,1215.9180000000001,22309,18885,20287,19486
1,FM0969-KG,5.977,5.985,FM0969,FM,969,14,227,0,4,3,50,0,4,46,2019,25892,25892,4.9,1276,11,0.008,0.032,207.136,10.208,22033,18431,20176,19452
1,FM0973-KG,29.269000000000002,29.274,FM0973,FM,973,14,227,2100,4,4,50,20,4,75,2019,23463,23463,5.3,1245,12,0.005,0.02,117.315,6.225,18337,14842,9921,7724
1,FM0969-KG,2.097,2.182,FM0969,FM,969,14,227,2100,4,3,50,0,4,44,2019,24322,24322,5.1,1230,11,0.085,0.34,2067.37,104.55,17992,14403,19231,18985
1,FM0969-KG,3.4010000000000002,3.412,FM0969,FM,969,14,227,2100,4,3,45,0,4,70,2019,36786,36786,1.3,488,13,0.011000000000000001,0.044000000000000004,404.64599999999996,5.367999999999999,32176,25801,33430,35514
1,FM0973-KG,28.43,28.453000000000003,FM0973,FM,973,14,227,0,4,4,60,50,4,70,2019,29232,29232,5.0,1466,12,0.023,0.092,672.336,33.718,16700,10647,13573,13765
1,FM0973-KG,20.688000000000002,20.826,FM0973,FM,973,14,227,0,4,4,60,6,2,14,2019,10893,10893,7.1,777,12,0.138,0.276,1503.234,107.226,10893,9800,9447,9997
1,FM0973-KG,9.472999999999999,11.422,FM0973,FM,973,14,227,0,1,4,60,10,2,24,2019,8043,8043,7.5,601,12,1.949,3.898,15675.806999999999,1171.349,7068,6532,6439,5353
1,FM0969-KG,11.488,12.231,FM0969,FM,969,14,227,0,1,5,60,3,2,22,2019,4560,4560,8.7,397,11,0.743,1.486,3388.08,294.971,3981,2910,3896,3272
1,FM0973-KG,34.757,34.783,FM0973,FM,973,14,227,0,4,4,55,5,2,24,2019,6681,6681,10.5,703,12,0.026000000000000002,0.052000000000000005,173.706,18.278,5519,3913,3699,2304
1,FM0969-KG,3.0239999999999996,3.4010000000000002,FM0969,FM,969,14,227,2100,4,3,45,0,4,70,2019,36786,36786,1.3,488,13,0.377,1.508,13868.322,183.976,32176,25801,33430,35514
1,FM0973-KG,30.539,30.653000000000002,FM0973,FM,973,14,227,2100,4,4,55,4,2,26,2019,23463,23463,5.3,1245,12,0.114,0.228,2674.782,141.93,18337,14842,9921,7724
1,FM0969-KG,2.0180000000000002,2.021,FM0969,FM,969,14,227,2100,4,3,50,0,4,44,2019,24322,24322,5.1,1230,11,0.003,0.012,72.96600000000001,3.69,17992,14403,19231,18985
1,FM0973-KG,22.17,22.651999999999997,FM0973,FM,973,14,227,0,4,4,60,6,2,18,2019,11783,11783,6.2,736,12,0.48200000000000004,0.9640000000000001,5679.406,354.75199999999995,10385,8867,7495,7819
