ID,RIA_RTE_ID,FRM_DFO,TO_DFO,HWY,HSYS,HNUM,DI,CO,CITY,RU,F_SYSTEM,SPD_MAX,HP_MED_W,NUM_LANES,SUR_W,ADT_YEAR,ADT_CUR,ADT_ADJ,TRK_AADT_PCT,AADT_TRUCKS,LANE_WIDTH,LEN_SEC,LN_MILES,DVMT,DTRKVMT,top10,Corridor_ID,Shape_Length
118,IH0010-KG,767.4580000000001,767.544,IH0010,IH,10,12,102,19750,4,1,55,40,8,96,2019,125804,125804,8.2,10339,12,0.086,0.688,10819.143999999998,889.154,8,1,0.086092
119,IH0010-KG,767.544,767.925,IH0010,IH,10,12,102,19750,4,1,55,40,8,96,2019,168987,168987,10.5,17764,12,0.381,3.048,64384.047,6768.084,8,2,0.38152600000000003
120,IH0010-KG,767.925,768.0169999999999,IH0010,IH,10,12,102,19750,4,1,55,20,6,92,2019,168987,168987,10.5,17764,11,0.092,0.552,15546.803999999998,1634.2879999999998,8,3,0.09220700000000001
121,IH0010-KG,768.0169999999999,768.2280000000001,IH0010,IH,10,12,102,19750,4,1,55,20,6,86,2019,168987,168987,10.5,17764,12,0.21100000000000002,1.266,35656.257000000005,3748.204,8,4,0.21124899999999996
122,IH0010-KG,768.2280000000001,768.324,IH0010,IH,10,12,102,19750,4,1,55,40,8,96,2019,168987,168987,10.5,17764,12,0.096,0.768,16222.752,1705.344,8,5,0.09599400000000001
123,IH0010-KG,768.324,769.028,IH0010,IH,10,12,102,19750,4,1,55,40,8,96,2019,168987,168987,10.5,17764,12,0.7040000000000001,5.632000000000001,118966.84800000001,12505.856000000002,8,6,0.70592
124,IH0010-KG,769.028,769.03,IH0010,IH,10,12,102,19750,4,1,55,40,8,96,2019,184317,184317,10.1,18578,12,0.002,0.016,368.634,37.156,8,7,0.002014
125,IH0010-KG,755.189,757.346,IH0010,IH,10,12,102,19750,4,1,60,20,6,86,2019,312068,312068,6.0,18685,12,2.157,12.942,673130.676,40303.545,9,1,2.161539
126,IH0010-KG,757.346,757.765,IH0010,IH,10,12,102,19750,4,1,60,20,6,86,2019,312068,312068,6.0,18685,12,0.419,2.5140000000000002,130756.492,7829.015,9,2,0.419558
127,IH0010-KG,757.765,758.1080000000001,IH0010,IH,10,12,102,40500,4,1,60,20,6,86,2019,312068,312068,6.0,18685,12,0.34299999999999997,2.0580000000000003,107039.32400000001,6408.955,9,3,0.34363499999999997
128,IH0010-KG,758.1080000000001,758.944,IH0010,IH,10,12,102,40500,4,1,60,20,6,86,2019,312068,312068,6.0,18685,12,0.836,5.016,260888.848,15620.66,9,4,0.837242
129,IH0010-KG,758.944,759.056,IH0010,IH,10,12,102,40500,4,1,60,50,12,144,2019,312068,312068,6.0,18685,12,0.11199999999999999,1.344,34951.616,2092.72,9,5,0.111955
130,IH0010-KG,759.056,759.487,IH0010,IH,10,12,102,40500,4,1,60,50,12,144,2019,320892,320892,5.9,18946,12,0.431,5.172000000000001,138304.452,8165.726,9,6,0.43172299999999997
131,IH0010-KG,759.487,759.5930000000001,IH0010,IH,10,12,102,40500,4,1,60,20,8,123,2019,320892,320892,5.9,18946,11,0.106,0.848,34014.552,2008.276,9,7,0.10624600000000001
