Crash_ID,Cnty_ID,City_ID,Latitude,Longitude,Hwy_Sys,Hwy_Nbr,Dfo,Street_Name,Onsys_Fl,Rural_Fl,Shldr_Width_Left,Shldr_Width_Right,Median_Width,Nbr_Of_Lane,Func_Sys_ID,Curve_Type_ID
15108284,101,208,29.7677844,-95.36613211,IH,45,48.275,IH0045,Y,N,0,20,3,8,11,0
15109004,101,208,29.75148183,-95.37396642,IH,45,46.925,IH0045,Y,N,0,22,3,8,11,1
15109091,101,208,29.73244301,-95.34309199,IH,45,44.648,IH0045,Y,N,0,24,20,8,11,0
15111990,101,208,29.74872542,-95.37010877,IH,45,46.623999999999995,IH0045,Y,N,20,20,28,8,11,0
15112042,101,208,29.73506707,-95.34658034,IH,45,44.925,IH0045,Y,N,0,24,6,6,11,1
15112300,101,208,29.70112116,-95.29410785,IH,45,41.001999999999995,IH0045,Y,N,0,24,20,8,11,0
15112615,101,208,29.69748799,-95.28909913,IH,45,40.61,IH0045,Y,N,24,20,22,8,11,0
15112725,101,208,29.76211822,-95.37263462,IH,45,47.696999999999996,IH0045,Y,N,0,20,3,10,11,1
15112813,101,208,29.71117565,-95.30938856,IH,45,42.15,IH0045,Y,N,0,24,20,8,11,0
15112903,101,208,29.70121204,-95.29425026,IH,45,41.012,IH0045,Y,N,0,24,20,8,11,0
15112906,101,208,29.70121671,-95.29425758,IH,45,41.013000000000005,IH0045,Y,N,0,24,20,8,11,0
15112910,101,208,29.7364289,-95.34871749,IH,45,45.083999999999996,IH0045,Y,N,0,24,6,6,11,0
15113150,101,208,29.73562057,-95.34744288,IH,45,44.989,IH0045,Y,N,0,24,6,6,11,1
15113565,101,208,29.73577067,-95.34767957,IH,45,45.007,IH0045,Y,N,0,24,6,6,11,1
15114443,101,208,29.73723346,-95.34998614,IH,45,45.178000000000004,IH0045,Y,N,0,24,6,6,11,0
15114444,101,208,29.73675241,-95.34922759999999,IH,45,45.121,IH0045,Y,N,0,24,6,6,11,0
15115668,101,208,29.742177,-95.35772615,IH,45,45.753,IH0045,Y,N,0,24,6,6,11,1
15115862,101,208,29.70760945,-95.304076,IH,45,41.748000000000005,IH0045,Y,N,0,24,20,8,11,1
15116220,101,208,29.71301688,-95.31211658,IH,45,42.357,IH0045,Y,N,0,24,20,8,11,0
15118448,101,208,29.74068508,-95.35538194,IH,45,45.57899999999999,IH0045,Y,N,0,24,6,6,11,0
15118971,101,208,29.70202884,-95.29553021,IH,45,41.107,IH0045,Y,N,0,24,20,8,11,0
15119186,101,208,29.73558083,-95.34738021,IH,45,44.983999999999995,IH0045,Y,N,0,24,6,6,11,1
15119953,101,208,29.70698953,-95.30316125,IH,45,41.678999999999995,IH0045,Y,N,0,24,20,8,11,0
15120314,101,208,29.70167895,-95.29498191,IH,45,41.067,IH0045,Y,N,0,24,20,8,11,0
15120333,101,208,29.764536699999997,-95.36796962,IH,45,48.023999999999994,IH0045,Y,N,0,20,3,10,11,1
15120706,101,208,29.76335086,-95.37023407,IH,45,47.865,IH0045,Y,N,0,20,3,10,11,1
15120941,101,208,29.72868593,-95.33779589,IH,45,44.239,IH0045,Y,N,0,24,20,8,11,0
15120957,101,208,29.76203815,-95.37274069,IH,45,47.68899999999999,IH0045,Y,N,0,20,3,10,11,1
15121857,101,208,29.7309472,-95.34117921,IH,45,44.494,IH0045,Y,N,0,24,20,8,11,0
15122065,101,208,29.70586459,-95.30149986,IH,45,41.552,IH0045,Y,N,0,24,20,8,11,0
